V;HE11;EH11;HE12;HE21;HE31;TE01;TM01
1;0;0;0;0;0;0;0
1.041414141;1.039844634;0;0;0;0;0;0
1.082828283;1.080246311;0;0;0;0;0;0
1.124242424;1.120211764;0;0;0;0;0;0
1.165656566;1.15963852;0;0;0;0;0;0
1.207070707;1.198421259;0;0;0;0;0;0
1.248484848;1.236454631;0;0;0;0;0;0
1.28989899;1.273635864;0;0;0;0;0;0
1.331313131;1.309867214;0;0;0;0;0;0
1.372727273;1.345058286;0;0;0;0;0;0
1.414141414;1.379128203;0;0;0;0;0;0
1.455555556;1.412007587;0;0;0;0;0;0
1.496969697;1.443640225;0;0;0;0;0;0
1.538383838;1.473984311;0;0;0;0;0;0
1.57979798;1.503013153;0;0;0;0;0;0
1.621212121;1.530715257;0;0;0;0;0;0
1.662626263;1.557093789;0;0;0;0;0;0
1.704040404;1.582165458;0;0;0;0;0;0
1.745454545;1.605958929;0;0;0;0;0;0
1.786868687;1.628512916;0;0;0;0;0;0
1.828282828;1.649874122;0;0;0;0;0;0
1.86969697;1.67009517;0;0;0;0;0;0
1.911111111;1.689232648;0;0;0;0;0;0
1.952525253;1.707345368;0;0;0;0;0;0
1.993939394;1.724492879;0;0;0;0;0;0
2.035353535;1.740734257;0;0;0;0;0;0
2.076767677;1.756127163;0;0;0;0;0;0
2.118181818;1.770727156;0;0;0;0;0;0
2.15959596;1.784587208;0;0;0;0;0;0
2.201010101;1.797757406;0;0;0;0;0;0
2.242424242;1.810284795;0;0;0;0;0;0
2.283838384;1.822213327;0;0;0;0;0;0
2.325252525;1.833583894;0;0;0;0;0;0
2.366666667;1.844434422;0;0;0;0;0;0
2.408080808;1.854799999;0;0;0;0;2.407641956;2.407931262
2.449494949;1.864713031;0;0;0;0;2.439526467;2.446135294
2.490909091;1.874203408;0;0;0;0;2.468195912;2.483165305
2.532323232;1.883298684;0;0;0;0;2.494803987;2.519318253
2.573737374;1.892024244;0;0;0;0;2.519787482;2.554676457
2.615151515;1.900403475;0;0;0;0;2.543405824;2.589272413
2.656565657;1.908457928;0;0;0;0;2.565838344;2.623117359
2.697979798;1.916207468;0;0;0;0;2.587219467;2.656211456
2.739393939;1.923670416;0;0;0;0;2.607655186;2.68854858
2.780808081;1.930863681;0;0;0;0;2.627232006;2.720119022
2.822222222;1.937802884;0;0;0;0;2.646022321;2.750911208
2.863636364;1.944502463;0;0;0;0;2.664087867;2.780912922
2.905050505;1.950975782;0;0;0;0;2.681482077;2.810112224
