V;LP01;LP21;LP02;LP11
1;0;0;0;0
1.183673469;1.123514837;0;0;0
1.367346939;1.244066065;0;0;0
1.551020408;1.344845557;0;0;0
1.734693878;1.429691286;0;0;0
1.918367347;1.501858825;0;0;0
2.102040816;1.563901952;0;0;0
2.285714286;1.61778243;0;0;0
2.469387755;1.665006815;0;0;2.455244544
2.653061224;1.706741081;0;0;2.566545499
2.836734694;1.74389736;0;0;2.655482264
3.020408163;1.777197522;0;0;2.730120135
3.204081633;1.807219449;0;0;2.794316939
3.387755102;1.834430837;0;0;2.850442899
3.571428571;1.859214099;0;0;2.900111958
3.755102041;1.881884891;0;0;2.944490231
3.93877551;1.902706065;3.879983283;3.937445628;2.984454362
4.12244898;1.921898274;3.949726228;4.079898453;3.020682723
4.306122449;1.939648137;4.009275821;4.182600518;3.053712122
4.489795918;1.956114575;4.061554299;4.264043866;3.083975038
4.673469388;1.971433789;4.108181727;4.33203731;3.111825113
4.857142857;1.985723198;4.15022514;4.390548831;3.137555184
5.040816327;1.999084587;4.188448932;4.441919889;3.161410375
5.224489796;2.011606634;4.223429401;4.487673195;3.183597823
5.408163265;2.023366973;4.255616425;4.528867497;3.204294032
5.591836735;2.034433864;4.285370253;4.566275503;3.223650527
5.775510204;2.04486758;4.312985068;4.415117;3.241798266
5.959183673;2.054721546;4.338704892;4.631943185;3.258851119
6.142857143;2.064043291;4.362734752;4.661021648;3.274908645
6.326530612;2.072875247;4.385248787;4.688012414;3.290058336
6.510204082;2.081255414;4.406396264;4.713158634;3.304377432
6.693877551;2.089217931;4.426306166;4.736663486;3.317934423
6.87755102;2.096793555;4.445090736;4.758698663;3.330790278
7.06122449;2.104010072;4.462848258;4.779410682;3.342999473
7.244897959;2.110892653;4.47966528;4.798925645;3.354610854
7.428571429;2.11746415;4.495618401;4.817352909;3.365668357
7.612244898;2.123745365;4.51077573;4.6320736;3.376211625
7.795918367;2.129755272;4.525198078;4.851314623;3.386276528
7.979591837;2.135511214;4.538939951;4.867006994;3.395895608
8.163265306;2.141029081;4.552050384;4.881930789;3.405098467
8.346938776;2.146323452;4.564573627;4.896144609;3.413912094
8.530612245;2.151407735;4.576549743;4.909700912;3.422361152
8.714285714;2.156294279;4.588015105;4.922646843;3.430468228
8.897959184;2.160994478;4.599002825;4.935024913;3.438254051
9.081632653;2.165518862;4.609543123;4.946873587;3.445737681
9.265306122;2.169877178;4.619663647;4.958227771;3.452936673
9.448979592;2.174078463;4.629389743;4.969119232;3.459867233
9.632653061;2.178131104;4.638744703;4.979576958;3.466544337
9.816326531;2.1820429;4.64774997;4.989627465;3.472981853
10;2.18582111;4.656425324;4.999295068;3.479192644
